filename,expected_destination,size_bytes,sha256,purpose,required,download_url,local_archive_source
disease_classifier.pkl,artifacts/disease_classifier.pkl,21799073,bdb50f7d59d9c6595352f61e57fd26f81ae847473f70e0d16b5852eef9f30a04,Final RandomForestClassifier disease prediction artifact.,True,,02_MODELS_AND_RUNTIME_ARTIFACTS/01_DISEASE_CLASSIFIER/disease_classifier.pkl
faiss.index,artifacts/faiss.index,524110893,34036a2e14247abc383645a5e813562a464d323d51ef205ddfed94438d85b3e7,FAISS vector index for MAQA retrieval.,True,,02_MODELS_AND_RUNTIME_ARTIFACTS/02_FAISS_INDEX/faiss.index
maqa_embeddings.pkl,artifacts/maqa_embeddings.pkl,524110990,2d5bc4c74f27106678d50a1fa0eb7a18409b77e40305ca8117a1c2abd0394044,Stored MAQA embedding matrix used to build/verify retrieval artifacts.,True,,02_MODELS_AND_RUNTIME_ARTIFACTS/03_EMBEDDINGS/maqa_embeddings.pkl
maqa_clean_data.pkl,artifacts/maqa_clean_data.pkl,127089325,b74906876f245500c14b003ab80823feba10151ec545c9ab8d74f52fd2e60424,Deduplicated processed MAQA records.,True,,02_MODELS_AND_RUNTIME_ARTIFACTS/04_CLEAN_PROCESSED_DATA/maqa_clean_data.pkl
knowledge_base.pkl,artifacts/knowledge_base.pkl,130499988,0d5bc6172eb8c079f208c2eea1f5f065825956d6e33490c965c597d50a90136e,MAQA knowledge-base records loaded by RAGService.,True,,02_MODELS_AND_RUNTIME_ARTIFACTS/05_KNOWLEDGE_BASE/knowledge_base.pkl
medical_knowledge.pkl,artifacts/medical_knowledge.pkl,17653,31a2328597aaa7b1e4ffc225299c7ac3b437798c7240dccccd26a4899aed353e,"Disease descriptions, precautions, and symptom severity lookup.",True,,02_MODELS_AND_RUNTIME_ARTIFACTS/05_KNOWLEDGE_BASE/medical_knowledge.pkl
disease_label_encoder.pkl,artifacts/disease_label_encoder.pkl,1132,ff816f3b050ce55c8854bac57ceb189085baf55fa42c7c20e05ddc9a897b31f0,Label encoder for classifier labels.,True,,02_MODELS_AND_RUNTIME_ARTIFACTS/06_LABELS_AND_METADATA/disease_label_encoder.pkl
symptom_columns.pkl,artifacts/symptom_columns.pkl,2326,da4c98c92945152d21b3fb2958baa889b8cc6d3b2a4c0c432d42e0d3adae6d75,Ordered symptom feature columns used by the classifier vectorizer.,True,,02_MODELS_AND_RUNTIME_ARTIFACTS/06_LABELS_AND_METADATA/symptom_columns.pkl
artifact_metrics.json,artifacts/artifact_metrics.json,1330,448de9a4e980e5099ac68d11b0801290f8cc10985fb28b5f3afee8c4eb56dc40,Saved classifier and RAG artifact metrics.,True,,02_MODELS_AND_RUNTIME_ARTIFACTS/06_LABELS_AND_METADATA/artifact_metrics.json
